Function	Depth	Time(s)	Result
Map.foldl'	2	5.20	Complete (Passed 10)
Map.foldl'	3	4.88	Complete (Passed 21)
Map.foldl'	4	5.53	Complete (Passed 56)
Map.foldl'	5	11.68	Complete (Passed 153)
Map.foldl'	6	40.26	Complete (Passed 379)
Map.foldr'	7	192.07	Complete (Passed 985)
Map.foldl	7	192.07	Complete (Passed 985)
Map.mapEitherWithKey	8	600.00	TimeOut
Map.foldrWithKey	2	4.86	Complete (Passed 10)
Map.mapAccumWithKey	8	600.01	TimeOut
Map.foldrWithKey	3	5.23	Complete (Passed 21)
Map.mapAccumRWithKey	8	600.00	TimeOut
Map.foldrWithKey'	2	4.29	Complete (Passed 10)
Map.foldlWithKey	2	4.46	Complete (Passed 10)
Map.foldrWithKey	4	5.88	Complete (Passed 56)
Map.foldrWithKey'	3	5.40	Complete (Passed 21)
Map.foldlWithKey	3	4.96	Complete (Passed 21)
Map.foldrWithKey'	4	5.79	Complete (Passed 56)
Map.foldlWithKey	4	6.29	Complete (Passed 56)
Map.foldrWithKey	5	11.97	Complete (Passed 153)
Map.mapKeysWith	7	419.73	Complete (Passed 985)
Map.foldrWithKey'	5	11.97	Complete (Passed 153)
Map.foldlWithKey	5	12.15	Complete (Passed 153)
Map.foldrWithKey	6	39.12	Complete (Passed 379)
Map.foldrWithKey'	6	39.40	Complete (Passed 379)
Map.foldlWithKey	6	39.62	Complete (Passed 379)
Map.mapKeysMonotonic	7	444.22	Complete (Passed 985)
Map.mapKeys	7	425.52	Complete (Passed 985)
Map.foldl'	7	187.43	Complete (Passed 985)
Map.foldrWithKey	7	190.23	Complete (Passed 985)
Map.foldrWithKey'	7	189.43	Complete (Passed 985)
Map.foldlWithKey	7	188.89	Complete (Passed 985)
Map.foldr	8	600.10	TimeOut
Map.foldlWithKey'	2	4.56	Complete (Passed 10)
Map.foldlWithKey'	3	5.27	Complete (Passed 21)
Map.foldlWithKey'	4	6.50	Complete (Passed 56)
Map.foldlWithKey'	5	12.47	Complete (Passed 153)
Map.foldlWithKey'	6	41.57	Complete (Passed 379)
Map.foldr'	8	600.17	TimeOut
Map.elems	2	5.37	Complete (Passed 10)
Map.elems	3	5.43	Complete (Passed 21)
Map.foldl	8	600.03	TimeOut
Map.keys	2	0.21	Complete (Passed 10)
Map.keys	3	0.38	Complete (Passed 21)
Map.keys	4	1.60	Complete (Passed 56)
Map.elems	4	6.30	Complete (Passed 56)
Map.keys	5	5.88	Complete (Passed 153)
Map.elems	5	10.74	Complete (Passed 153)
Map.mapKeysWith	8	600.26	TimeOut
Map.assocs	2	4.95	Complete (Passed 10)
Map.keys	6	26.69	Complete (Passed 379)
Map.assocs	3	5.24	Complete (Passed 21)
Map.assocs	4	6.22	Complete (Passed 56)
Map.elems	6	30.47	Complete (Passed 379)
Map.assocs	5	10.93	Complete (Passed 153)
Map.assocs	6	32.05	Complete (Passed 379)
Map.mapKeysMonotonic	8	600.01	TimeOut
Map.fromList	2	5.46	Complete (Passed 13)
Map.fromList	3	5.61	Complete (Passed 85)
Map.union	5	3288.42	TimeOut
Map.fromListWith	2	4.44	Complete (Passed 13)
Map.foldlWithKey'	7	186.76	Complete (Passed 985)
Map.fromListWith	3	5.36	Complete (Passed 85)
Map.mapKeys	8	600.28	TimeOut
Map.fromList	4	16.43	Complete (Passed 781)
Map.fromListWithKey	2	4.36	Complete (Passed 13)
Map.fromListWithKey	3	5.31	Complete (Passed 85)
Map.fromListWith	4	15.84	Complete (Passed 781)
Map.fromListWithKey	4	15.05	Complete (Passed 781)
Map.foldl'	8	600.00	TimeOut
Map.toList	2	4.56	Complete (Passed 10)
Map.toList	3	5.12	Complete (Passed 21)
Map.keys	7	129.26	Complete (Passed 985)
Map.toList	4	5.67	Complete (Passed 56)
Map.toList	5	10.68	Complete (Passed 153)
Map.elems	7	132.56	Complete (Passed 985)
Map.toList	6	31.47	Complete (Passed 379)
Map.assocs	7	136.03	Complete (Passed 985)
Map.foldrWithKey	8	600.26	TimeOut
Map.toAscList	2	4.21	Complete (Passed 10)
Map.foldrWithKey'	8	600.20	TimeOut
Map.toAscList	3	4.71	Complete (Passed 21)
Map.foldlWithKey	8	600.00	TimeOut
Map.toDescList	2	4.44	Complete (Passed 10)
Map.fromAscList	2	4.41	Complete (Passed 10)
Map.toAscList	4	5.87	Complete (Passed 56)
Map.toDescList	3	4.68	Complete (Passed 21)
Map.fromAscList	3	4.22	Complete (Passed 35)
Map.toDescList	4	5.74	Complete (Passed 56)
Map.fromAscList	4	6.25	Complete (Passed 126)
Map.toAscList	5	10.55	Complete (Passed 153)
Map.toDescList	5	10.55	Complete (Passed 153)
Map.fromAscList	5	11.09	Complete (Passed 462)
Map.toAscList	6	30.65	Complete (Passed 379)
Map.toDescList	6	30.33	Complete (Passed 379)
Map.fromAscList	6	35.27	Complete (Passed 1716)
Map.toList	7	134.67	Complete (Passed 985)
Map.fromList	5	232.67	Complete (Passed 9331)
Map.fromListWith	5	235.81	Complete (Passed 9331)
Map.fromListWithKey	5	234.71	Complete (Passed 9331)
Map.toAscList	7	133.04	Complete (Passed 985)
Map.toDescList	7	134.98	Complete (Passed 985)
Map.fromAscList	7	171.20	Complete (Passed 6435)
Map.foldlWithKey'	8	600.32	TimeOut
Map.fromAscListWith	2	4.72	Complete (Passed 10)
Map.fromAscListWith	3	5.24	Complete (Passed 35)
Map.fromAscListWith	4	6.72	Complete (Passed 126)
Map.fromAscListWith	5	11.64	Complete (Passed 462)
Map.keys	8	600.02	TimeOut
Map.fromAscListWithKey	2	4.22	Complete (Passed 10)
Map.fromAscListWithKey	3	4.45	Complete (Passed 35)
